" - Edit"," - Edit"
"Action","Action"
"Add Article","Add Article"
"Add Author","Add Author"
"Add Child Newscategory","Add Child Newscategory"
"Add Newscategory","Add Newscategory"
"Add Root Newscategory","Add Root Newscategory"
"Allow Comments","Allow Comments"
"Allow guest comments","Allow guest comments"
"An error occurred while trying to delete the newscategory.","An error occurred while trying to delete the newscategory."
"An error occurred while updating the articles.","An error occurred while updating the articles."
"An error occurred while updating the authors.","An error occurred while updating the authors."
"An error occurred while updating the nescategories.","An error occurred while updating the nescategories."
"Approved","Approved"
"Are you sure?","Are you sure?"
"Article Comment","Article Comment"
"Article Comments","Article Comments"
"Article comment","Article comment"
"Article was saved","Article was saved"
"Article was successfully deleted.","Article was successfully deleted."
"Article was successfully saved","Article was successfully saved"
"Article","Article"
"Articles","Articles"
"Associated categories","Associated categories"
"Associated products","Associated products"
"Author was saved","Author was saved"
"Author was successfully deleted.","Author was successfully deleted."
"Author was successfully saved","Author was successfully saved"
"Author","Author"
"Authors","Authors"
"CSV","CSV"
"Can't delete root newscategory.","Can't delete root newscategory."
"Change Author","Change Author"
"Change Newscategory","Change Newscategory"
"Change status","Change status"
"Collapse All","Collapse All"
"Comment can't be empty","Comment can't be empty"
"Comment title can't be empty","Comment title can't be empty"
"Comment was successfully deleted.","Comment was successfully deleted."
"Comment was successfully saved","Comment was successfully saved"
"Comment","Comment"
"Comments","Comments"
"Content","Content"
"Could not find article to delete.","Could not find article to delete."
"Could not find author to delete.","Could not find author to delete."
"Could not find comment to delete.","Could not find comment to delete."
"Could not find newscategory to delete.","Could not find newscategory to delete."
"Created at","Created at"
"Customer profile","Customer profile"
"Delete Article comment","Delete Article comment"
"Delete Article","Delete Article"
"Delete Author","Delete Author"
"Delete Newscategory","Delete Newscategory"
"Delete","Delete"
"Description","Description"
"Disabled","Disabled"
"Display as tree","Display as tree"
"Edit Article '%s'","Edit Article '%s'"
"Edit Article comment '%s'","Edit Article comment '%s'"
"Edit Author '%s'","Edit Author '%s'"
"Edit Newscategory '%s'","Edit Newscategory '%s'"
"Edit","Edit"
"Email","Email"
"Enable rss","Enable rss"
"Enabled","Enabled"
"Error saving article","Error saving article"
"Error saving author","Error saving author"
"Error saving newscategory","Error saving newscategory"
"Excel","Excel"
"Expand All","Expand All"
"Guest comments are not allowed","Guest comments are not allowed"
"Home","Home"
"ID: %s","ID: %s"
"Id","Id"
"Image","Image"
"Levels to show (0 for all)","Levels to show (0 for all)"
"Manage Nescategories","Manage Nescategories"
"Meta description for articles list page","Meta description for articles list page"
"Meta description for authors list page","Meta description for authors list page"
"Meta description for nescategories list page","Meta description for nescategories list page"
"Meta information","Meta information"
